Blog	four	looking	second	here	kids	k	music	until	example	want	feature	wrong	fix	easier	series	re	wasn	service	needed	person	tech	came	best	asked	much	life	things	had	easy	possible	right	old	people	support	happy	inside	later	time	team	love	working	awesome	such	years	course	didn	internet	million	quite	open	city	future	note	take	drive	ways	going	where	many	photos	former	technology	being	around	world	power	favorite	side	her	am	having	tv	th	large	small	past	full	hours	experience	social	via	company	learn	information	its	always	found	really	try	major	number	self	also	play	microsoft	set	see	project	available	last	let	whole	blog	recent	amp	readers	parents	couple	d	continue	anything	into	link	line	us	ago	results	video	great	makes	tools	next	process	high	move	perfect	doing	books	could	start	system	lot	device	face	fact	should	hope	means	stuff	email	ve	android	off	less	web	five	become	does	problem	chance	worked	worth	told	search	work	interview	after	law	order	office	then	them	network	another	do	away	launched	hand	photo	thanks	night	post	months	way	update	together	change	live	car	write	product	use	remember	still	non	half	now	year	space	shows	care	than	browser	online	america	only	between	article	comes	these	media	real	read	early	using	business	your	trying	since	month	very	learned	family	put	takes	site	history	help	soon	actually	event	reason	ask	mobile	clear	latest	pretty	during	x	close	won	probably	both	along	else	look	while	ready	used	user	march	game	popular	some	run	step	within	doesn	go	facebook	click	products	started	point	links	including	keep	art	long	data	exactly	need	based	she	well	page	twitter	home	noticed	he	display	friends	companies	likely	even	ever	never	call	tell	give	amazing	answer	before	personal	better	weeks	went	content	isn	matter	don	m	bad	said	against	appeared	three	website	if	make	left	human	yes	yet	save	deal	dead	super	down	finally	did	making	may	man	maybe	talk	nbsp	interesting	thing	think	first	little	anyone	were	potential	show	behind	black	get	morning	enough	reading	across	those	sound	different	pay	same	running	money	either	videos	youtube	again	important	u	public	two	share	needs	coming	through	good	everyone	house	hard	idea	done	least	part	build	most	services	find	please	simple	create	itself	spend	big	bit	google	often	back	single	entire	others	control	stories	ll	day	announced	text	taking	value	almost	com	thought	add	happens	buy	minutes	special	starting	under	every	path	changes	would	phone	must	me	my	times	end	over	writing	each	got	free	wanted	days	already	top	too	took	though	watch	amazon	report	news	games	quickly	pick	able	everything	head	hear	check	no	cool	level	posts	says	goes	water	today	name	turn	place	white	any	ideas	sure	state	college	come	case	myself	someone	events	week	without	seems	there	far	list	design	version	known	short	might	friday	feel	story	kind	nothing	his	him	wrote	recently	became	reasons	questions	customers	question	called	say	nice	users	once	apple	heart	app	few	something	six	instead	related	our	york	their	which	who	why	thousands	words	view	april	will	gets	other	know	because	lead	getting	own	apps	made	whether	book
Topix Blog	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	0	0	0	0	3	0	3	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	2	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	2	0	3	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	3	0	2	0	0	0	4	0	0	2	1	0	0	0	0	0	1	1	1	3	1	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	2	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	2	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	6	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
kottke.org	1	3	1	11	0	0	8	2	1	4	1	0	0	2	6	9	2	1	1	3	1	4	7	2	11	5	5	16	1	2	5	3	18	0	0	6	1	11	2	4	0	0	6	9	3	3	3	1	0	0	7	5	0	6	0	1	7	5	8	4	1	0	10	2	6	2	2	4	14	3	2	5	6	2	1	3	4	1	0	0	16	0	2	3	8	2	4	3	0	0	4	3	10	2	1	5	6	2	3	1	2	3	0	2	6	1	2	2	7	0	3	18	0	2	4	4	1	22	8	2	0	5	0	8	1	2	1	5	12	1	5	1	0	6	1	1	0	1	0	0	3	0	4	3	0	4	1	3	2	1	1	2	4	0	3	1	10	3	2	1	2	10	0	4	12	3	2	2	0	5	3	4	0	9	5	2	1	5	1	2	3	0	3	5	1	4	7	15	14	2	2	15	2	3	0	4	3	4	2	16	0	1	6	4	0	0	17	1	6	2	4	2	1	3	2	3	4	4	3	2	0	3	1	0	1	1	1	7	4	6	0	4	0	1	0	9	5	0	6	0	7	1	1	19	1	1	4	0	9	0	1	1	1	5	0	4	1	4	3	13	1	4	4	11	5	0	3	4	1	18	2	0	3	0	9	3	4	4	2	0	1	1	3	3	2	1	4	0	2	0	8	5	2	7	3	1	6	0	10	3	1	9	1	3	1	0	0	1	7	1	2	1	6	4	0	0	236	4	5	7	7	2	2	9	0	3	2	2	4	1	1	2	5	7	6	2	0	7	1	3	1	6	1	2	0	0	0	12	0	1	1	7	9	1	1	2	1	4	2	3	0	6	1	2	1	1	1	0	2	3	2	0	0	5	1	5	2	2	1	5	6	0	1	0	0	5	0	7	0	1	0	2	3	2	1	9	2	4	11	2	0	10	17	5	2	8	1	6	6	3	2	1	1	5	2	2	3	5	0	2	3	2	0	1	2	1	1	1	1	12	2	1	0	3	3	11	5	7	1	1	3	1	0	0	3	1	2	1	2	2	0	2	2	0	19	3	2	5	2	3	2	6	1	3	5	2	1	15	3	3	2	0	0	0	1	0	6	5	0	0	1	9	4	4	7	3	1	1	4	10	4	19	10	26	0	2	3	2	3	18	1	8	8	10	2	2	1	0	11	1	7
43 Folders	5	2	8	28	1	2	0	15	0	26	1	6	4	3	0	48	2	3	3	8	0	1	14	1	37	32	55	26	5	5	24	10	54	3	6	2	5	46	2	15	7	19	6	16	2	8	3	0	5	4	0	8	4	10	0	5	7	20	20	0	0	3	17	10	13	7	10	4	17	14	11	4	1	3	2	8	7	4	4	1	1	2	11	6	9	20	1	77	18	4	9	9	27	6	0	3	18	3	5	13	17	4	5	2	11	2	0	7	45	4	14	21	2	3	21	3	2	14	14	5	5	3	2	0	1	2	16	1	24	11	4	39	1	5	9	16	20	11	27	11	40	0	13	16	10	4	12	5	15	3	5	5	6	0	59	9	10	1	8	0	25	22	4	10	74	7	0	3	2	13	5	2	4	36	4	3	13	8	3	3	4	11	6	20	9	9	41	14	1	0	27	36	0	1	1	22	3	4	5	24	2	19	43	4	8	8	83	10	5	2	29	3	4	3	4	2	0	30	5	14	4	5	9	1	7	0	11	2	4	2	10	8	8	1	7	5	10	8	6	0	2	2	2	28	6	4	2	18	21	1	2	0	2	21	2	8	10	3	21	3	8	21	2	29	24	4	4	6	2	39	1	5	2	4	50	26	26	3	17	4	1	2	13	4	27	1	2	1	0	8	46	47	6	14	4	0	3	1	59	45	2	4	13	6	2	2	1	2	9	6	13	11	15	7	14	22	1	2	33	31	29	28	14	16	2	4	2	1	50	7	15	13	0	27	1	7	3	9	4	5	7	0	0	10	13	0	1	10	4	4	1	7	26	8	2	16	6	10	11	17	2	41	3	10	16	7	0	6	2	25	7	2	19	25	6	1	4	3	2	37	16	0	4	1	3	13	17	10	1	3	5	7	5	5	20	12	0	4	20	1	1	82	188	3	7	29	4	13	2	8	5	7	13	2	14	2	2	6	1	0	1	0	2	2	1	12	1	8	2	37	3	3	2	13	10	5	13	3	5	7	0	38	3	10	0	2	5	3	8	7	2	11	12	2	33	7	3	10	3	2	3	16	2	7	6	9	7	28	12	2	1	1	2	0	3	3	3	21	15	5	4	1	4	8	13	23	4	4	3	35	1	19	45	70	32	2	1	4	3	53	13	22	40	57	2	11	13	5	28	14	25
Autoblog	1	0	0	1	0	4	0	1	1	0	0	0	1	0	6	3	3	1	0	0	0	0	0	0	0	0	1	0	0	1	4	0	4	4	1	3	0	4	0	0	0	0	0	4	1	2	0	2	0	0	1	1	0	0	5	3	3	0	3	1	1	2	2	3	7	0	0	6	0	0	0	1	0	0	0	0	1	0	1	0	1	2	0	0	10	0	1	0	0	0	0	0	1	0	0	1	40	0	0	1	1	0	0	0	4	0	0	3	0	40	0	2	0	0	3	1	0	8	0	0	0	5	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	40	0	0	7	1	0	0	0	0	1	1	0	0	0	0	0	0	4	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	3	0	0	0	1	5	0	0	41	0	0	3	0	1	4	0	6	0	2	0	0	0	1	2	0	4	2	0	0	2	1	2	0	5	1	0	0	0	0	0	1	5	0	4	0	0	0	0	0	0	0	0	3	0	0	6	0	1	0	1	0	0	2	2	1	0	0	1	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	3	40	0	0	4	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	160	0	0	0	5	0	0	1	0	8	1	2	3	0	1	40	0	1	1	0	3	1	1	1	0	12	0	0	0	0	0	8	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	2	40	0	1	0	0	2	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	41	0	0	0	1	0	0	0	0	0	1	6	0	0	0	0	0	4	0	6	0	0	1	2	0	3	2	1	0	1	0	0	0	0	1	1	0	2	0	1	4	0	0	2	0	0	0	1	0	0	0	0	0	1	0	1	1	6	1	0	0	0	1	3	2	0	0	4	0	0	0	0	0	0	1	0	0	0	0	4	0	0	1	0	0	0	0	1	0	0	1	1	5	1	0	41	6	1	0	0	0	0	0	0	0	6	7	3	0	0	0	1	0	0	0	0	0
Daily Kos	3	4	5	18	2	3	1	3	0	14	0	11	2	1	1	22	2	4	5	5	0	3	5	8	19	3	6	16	8	2	23	7	35	9	3	0	1	24	2	3	4	0	9	13	8	5	2	4	3	4	7	4	4	16	2	1	15	25	26	0	8	1	19	10	6	6	2	4	9	8	13	2	6	2	3	10	4	4	2	0	1	4	0	1	10	1	10	14	3	10	9	3	25	0	0	9	17	1	3	20	9	1	4	5	2	0	3	3	13	6	9	16	2	6	13	7	7	1	8	7	0	9	3	12	4	1	3	2	17	2	3	7	1	5	10	17	2	6	1	7	16	0	10	2	0	3	4	16	2	2	2	3	4	0	8	2	27	65	4	9	11	25	1	11	36	1	2	5	0	1	1	8	4	13	4	4	17	8	6	4	0	4	0	12	2	5	17	17	0	4	21	44	0	1	10	20	10	1	8	24	12	7	7	3	1	8	18	10	12	9	21	1	9	7	0	1	7	8	4	10	2	4	4	0	8	1	2	8	0	4	12	2	11	0	3	7	23	7	2	0	2	0	2	23	8	2	5	11	11	1	2	0	2	12	0	5	8	0	14	1	5	7	7	19	26	2	2	6	0	83	1	4	8	7	30	12	13	4	2	5	0	10	10	3	3	1	5	1	7	6	24	9	5	40	26	1	6	2	46	21	8	6	10	10	3	5	3	1	10	3	8	11	17	3	6	3	18	1	5	20	10	7	3	23	4	20	4	5	23	11	6	2	3	21	3	9	17	13	4	12	1	0	1	9	6	9	15	13	1	5	10	9	16	4	28	11	6	2	6	8	3	14	2	11	2	1	2	0	2	9	2	0	6	19	2	3	2	9	2	6	10	5	3	5	2	8	1	3	0	1	0	0	2	4	11	24	4	4	38	3	8	19	14	13	3	24	2	4	11	2	1	8	11	5	11	6	15	3	0	2	19	0	7	0	5	5	10	3	3	41	0	5	4	9	2	15	9	3	3	4	13	17	2	9	69	5	7	10	1	7	2	24	11	2	55	6	3	1	4	3	4	11	3	3	7	1	5	71	30	2	2	2	4	6	4	11	8	21	3	0	6	1	2	2	8	6	5	1	1	55	7	58	19	63	24	6	7	2	0	36	5	40	25	27	2	6	9	0	5	5	2
Google Blogoscoped	0	0	1	2	0	0	0	0	0	2	2	1	0	0	0	5	0	6	1	0	1	0	4	1	4	0	1	3	1	1	1	0	3	0	0	0	2	4	0	2	2	0	0	1	0	0	0	0	0	2	0	1	1	1	0	0	2	1	0	0	0	1	0	2	1	0	0	1	0	1	0	0	0	0	1	2	2	0	0	0	2	0	0	0	1	2	0	0	0	0	5	0	2	0	0	1	4	0	0	0	2	0	1	0	0	0	0	0	2	0	0	3	1	0	1	1	1	0	0	1	0	1	2	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	1	0	4	1	0	1	4	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	4	0	2	3	0	1	1	1	1	0	2	0	1	0	1	1	1	1	0	0	3	0	0	0	0	4	0	0	0	0	1	2	1	0	2	0	0	1	1	0	0	2	0	4	0	8	0	0	0	1	0	0	1	0	4	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	2	2	0	2	1	1	0	2	2	0	2	0	3	1	0	0	0	1	0	2	0	0	0	2	0	0	0	1	0	0	2	1	0	2	0	0	1	0	2	0	1	0	1	4	0	1	0	0	0	0	3	0	0	0	0	1	0	1	1	4	2	0	2	0	0	0	1	8	3	1	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	2	0	1	1	0	1	0	0	5	0	0	1	2	3	2	2	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	3	0	0	0	0	3	1	3	0	1	1	0	0	0	0	28	1	3	1	0	1	0	0	6	3	0	1	0	0	0	0	0	3	2	0	0	0	0	0	1	0	1	11	4	0	4	7	1	0	1	0	3	0	2	0	0	1	1	2	1	3	0	0	0	1	1	1	1	0	0	0	1	0	6	0	0	1	1	1	0	1	2	0	2	0	3	0	0	0	0	1	1	0	1	0	0	0	0	5	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	4	1	0	1	0	1	0	0	4	1	2	0	0	0	3	0	4	5	5	0	0	0	2	0	1	0	4	2	5	0	0	0	6	2	1	0
Deadspin	1	3	1	2	0	0	5	0	1	1	0	1	0	0	0	3	1	0	0	0	0	0	4	1	2	1	2	1	0	0	1	1	2	1	0	1	0	2	2	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	4	2	0	1	0	0	4	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	1	0	5	1	1	0	0	0	2	1	0	0	3	0	0	1	1	1	2	0	0	0	1	0	2	0	0	3	0	0	1	1	0	0	3	1	0	0	0	0	1	2	1	1	0	0	0	1	1	1	0	2	0	0	1	2	0	0	6	0	0	1	0	0	0	1	1	0	0	0	0	0	3	1	2	0	1	0	0	1	3	0	1	0	0	2	2	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	3	6	0	0	1	1	0	0	1	1	0	0	0	1	0	0	25	1	0	0	7	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	4	0	0	0	1	0	0	0	0	2	0	1	1	1	0	2	1	0	0	1	0	2	1	0	0	0	1	0	1	2	0	0	0	0	0	1	1	2	0	1	0	1	6	0	1	0	0	4	0	1	0	1	0	0	0	1	1	1	0	2	0	0	0	2	2	1	1	1	0	2	0	2	2	1	0	0	1	0	0	2	0	1	0	1	0	2	4	1	0	0	1	2	2	1	1	0	1	0	3	2	0	4	2	0	1	0	0	2	1	0	4	1	0	1	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	1	0	0	0	1	8	0	1	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	3	0	0	0	2	0	2	1	0	1	1	0	0	2	0	2	0	1	1	0	4	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	2	0	2	0	0	3	2	0	4	0	0	1	2	0	0	3	0	0	1	1	0	0	0	2	2	0	0	0	1	0	2	1	0	3	0	0	2	1	0	1	3	0	1	0	0	1	14	0	0	0	0	0	1	0	0	1	0	1	0	3	0	0	0	0	1	0	0	0	1	0	2	2	6	1	0	0	0	2	1	0	1	0	5	0	0	0	0	1	0	0
The Dish	0	2	0	2	0	1	0	0	4	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	2	1	3	3	0	1	0	3	5	2	0	0	0	6	0	7	0	0	0	11	0	3	2	1	0	2	0	0	3	1	0	0	2	0	3	1	1	0	0	4	7	0	2	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	6	1	0	7	1	0	1	1	0	1	0	0	3	2	1	0	0	0	0	1	0	1	0	0	1	1	1	0	1	0	0	3	1	3	4	0	0	3	3	0	0	1	0	1	1	0	1	3	0	1	1	0	3	0	2	0	0	0	3	0	0	2	3	0	0	0	2	0	0	4	0	0	1	0	0	1	0	0	0	1	0	2	0	1	2	3	0	1	0	4	0	0	2	3	1	0	0	5	0	1	9	1	0	0	13	0	2	0	1	0	0	0	1	2	1	0	0	0	0	0	0	0	0	2	0	2	0	1	1	2	0	0	1	3	0	0	0	0	0	1	0	1	0	0	0	1	3	0	0	0	1	0	1	1	1	1	6	0	0	0	0	1	1	0	0	1	0	3	0	1	0	2	4	0	1	0	0	0	0	1	1	1	2	0	1	2	1	0	4	1	1	3	1	0	1	0	2	2	0	0	1	1	0	0	0	0	1	0	2	0	1	1	1	2	0	0	1	1	2	2	2	1	0	0	1	0	2	2	1	3	0	2	0	1	0	2	0	1	1	0	0	0	0	3	1	1	0	0	0	4	0	0	2	1	3	0	2	3	0	5	0	2	3	2	0	1	0	2	0	0	2	3	1	1	1	0	0	3	9	0	0	1	0	1	1	2	0	0	0	0	0	1	2	1	1	0	1	0	0	11	16	1	3	3	2	0	0	0	1	0	0	0	1	1	1	0	0	0	2	0	0	1	1	0	1	0	0	6	0	0	4	0	0	0	1	0	0	1	0	1	1	0	0	2	0	1	1	0	0	1	2	0	3	0	0	0	0	1	3	1	0	0	3	0	2	11	0	1	4	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	4	0	7	2	5	3	2	4	2	0	5	0	2	6	1	0	0	1	0	2	0	3
Go Fug Yourself	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	20	2	0	0	3	1	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	19	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	11	1	1	0	1	0	0	0	0	0
O'Reilly Radar	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	2	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	3	2	1	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	1	1	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	4	0	1	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1
MetaFilter	0	0	1	4	0	0	1	1	0	4	1	0	0	0	2	2	0	0	0	0	0	1	1	2	4	5	1	2	0	1	5	0	9	0	0	2	0	7	0	2	2	0	2	3	1	1	1	0	1	0	0	0	0	2	0	0	2	2	4	0	1	0	1	2	3	2	0	0	7	1	3	2	1	2	0	1	1	0	0	1	0	1	2	1	5	1	0	2	1	0	1	2	2	0	0	1	2	2	0	2	1	2	0	0	1	0	0	0	7	0	1	0	3	0	6	0	1	0	8	1	0	2	1	1	1	1	2	3	5	0	0	3	0	0	0	0	0	0	0	0	3	0	3	0	2	0	0	0	0	0	0	0	0	1	6	0	3	1	1	0	1	2	0	4	3	1	1	1	0	1	4	1	0	2	0	0	2	2	0	0	1	1	0	4	0	0	4	0	2	0	0	2	0	1	3	2	5	1	0	1	2	5	1	1	2	0	11	0	1	0	2	0	2	0	0	3	2	2	0	0	0	0	0	0	2	1	0	1	0	1	0	1	0	1	1	1	4	0	2	2	0	0	0	5	1	0	1	0	2	3	0	0	0	0	1	2	0	1	4	1	0	0	4	6	0	0	0	4	0	1	0	4	0	1	6	0	2	0	3	2	2	0	0	0	3	0	1	1	0	0	1	0	0	0	0	2	2	0	9	1	0	0	0	0	0	1	1	3	2	0	0	1	3	1	1	0	0	0	6	1	2	2	2	5	0	2	1	1	2	0	3	1	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	2	1	0	0	3	0	1	1	2	2	1	0	1	0	2	0	3	0	0	0	1	1	1	0	0	1	1	0	0	2	1	5	1	4	1	3	0	0	1	1	0	0	0	1	0	0	1	0	4	0	0	4	1	3	2	6	2	2	2	0	0	1	1	2	1	0	0	0	2	1	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	2	0	1	1	0	2	1	8	1	0	0	1	2	0	0	0	2	0	1	1	0	3	0	3	3	0	1	2	0	4	1	2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	9	0	6	7	13	4	0	1	0	1	5	0	3	1	2	0	0	2	0	2	0	2
ReadWrite	1	4	2	4	1	1	9	2	7	10	3	0	0	0	1	22	2	11	1	0	15	2	1	5	7	1	4	9	1	4	8	1	19	2	2	0	3	6	5	1	2	0	8	7	2	4	5	3	2	2	0	2	0	6	1	4	10	3	7	5	0	7	3	9	28	1	0	0	0	0	0	1	1	5	3	1	3	2	5	9	2	10	0	3	22	1	1	5	10	1	6	0	18	3	2	3	13	3	10	9	1	1	0	2	0	0	0	2	5	1	2	27	1	1	6	1	1	17	2	2	2	4	2	3	6	2	3	0	10	0	1	4	6	0	0	3	0	0	0	1	5	1	6	2	5	1	4	3	3	2	0	0	2	0	5	3	4	0	3	2	9	13	6	4	11	7	3	5	5	1	0	1	2	13	0	1	0	7	1	0	23	8	0	3	0	2	7	12	2	1	1	10	0	7	3	13	2	0	2	9	4	11	1	5	6	4	46	6	1	4	17	0	1	2	3	5	0	2	3	3	2	0	2	4	6	1	0	6	0	2	1	0	5	1	3	5	5	1	9	2	1	6	4	14	5	4	2	5	3	25	0	6	5	2	0	5	0	0	5	0	2	13	9	0	5	0	13	3	2	9	2	3	9	3	12	5	3	2	0	1	0	2	13	2	3	2	2	3	5	0	9	3	2	18	0	2	3	1	24	10	1	2	0	5	0	2	2	0	6	1	1	7	11	1	0	1	59	2	2	3	10	4	1	6	5	5	1	3	16	0	5	0	3	10	0	11	1	3	1	6	4	4	25	4	0	2	2	9	1	2	4	11	5	2	6	2	7	2	1	3	7	5	7	1	0	4	2	3	3	8	1	11	6	4	2	2	3	0	0	12	1	0	0	2	0	4	0	2	0	0	8	1	1	1	2	5	2	0	5	3	1	8	12	0	3	15	0	2	3	4	2	4	4	0	6	2	3	18	1	0	3	1	3	2	6	1	1	0	2	9	0	3	2	0	1	0	9	2	1	5	0	9	0	5	0	12	7	2	0	1	1	1	3	3	14	4	1	2	1	2	2	3	0	0	0	2	0	4	1	3	1	1	1	1	2	0	1	5	1	10	8	23	0	12	5	4	0	3	1	17	0	35	13	8	8	0	1	1	2	30	3	16	4	6	2	0	6	6	2	5	0
